Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Event_ID,Window_Number
-5.66,0.74,7.81,0,1,7
-5.8,1.5,8.61,0,1,7
-6.24,0.94,7.85,0,1,7
-6.14,0.41,6.71,0,1,7
-5.48,1.57,7.51,0,1,7
-5.03,2.62,8.26,0,1,7
-5.73,2.6,7.56,0,1,7
-5.39,2.56,6.21,0,1,7
-5.58,3.93,7.26,0,1,7
-4.95,4.32,8.07,0,1,7
-5.43,3.62,6.89,0,1,7
-4.55,3.5,6.67,0,1,7
-6.27,4.35,6.83,0,1,7
-4.85,5.16,7.02,0,1,7
-5.03,5.14,6.76,0,1,7
-5.58,5.46,6.42,0,1,7
-5.65,5.49,6.24,0,1,7
-5.51,4.79,5.65,0,1,7
-5.55,4.39,5.7,0,1,7
-8.97,4.74,1.89,0,1,8
