Accel_X,Accel_Y,Accel_Z,Fall_Indicator
-6.16,6.60,0.23, 0
-7.20,7.55,-2.08, 0
-8.13,2.31,-5.06, 0
-8.69,-3.59,-7.19, 0
-9.51,-6.59,-7.54, 0
-7.66,-3.11,-4.90, 0
-6.23,1.40,-1.84, 0
-6.90,4.45,-1.94, 0
-8.18,5.12,-3.94, 0
-9.30,3.09,-7.02, 0
-9.62,1.25,-8.63, 0
-8.77,0.12,-7.23, 0
-7.23,0.32,-4.55, 0
-6.52,1.70,-3.10, 0
-6.25,2.75,-3.30, 0
-7.06,3.11,-4.30, 0
-7.67,3.16,-5.08, 0
-7.20,3.34,-5.18, 0
-6.96,3.50,-5.12, 0
-8.28,2.77,-4.81, 0
-9.46,1.61,-4.78, 0
-8.33,0.96,-4.95, 0
-8.03,1.19,-5.02, 0
-7.63,1.73,-4.90, 0
-7.87,1.86,-5.36, 0
-8.34,2.55,-3.48, 0
-9.53,5.81,-5.29, 0
-12.73,7.93,-7.18, 0
-13.22,5.32,-9.62, 0
-11.23,1.19,-10.50, 0
-10.09,-2.00,-9.87, 0
-7.43,-3.27,-4.14, 0
-3.69,-3.00,1.80, 0
-3.07,-1.49,2.99, 0
-4.76,-0.66,0.16, 0
-7.37,0.14,-4.10, 0
-10.17,2.31,-7.06, 0
-12.35,5.20,-8.43, 0
-12.35,5.90,-7.71, 0
-10.30,5.30,-4.78, 0
-7.77,4.62,-1.76, 0
-7.10,4.08,-1.56, 0
-7.30,3.86,-2.61, 0
-7.76,3.13,-4.15, 0
-7.94,2.54,-4.50, 0
-7.40,2.26,-3.90, 0
-7.09,2.10,-3.30, 0
-6.69,1.43,-3.49, 0
-7.18,0.43,-4.19, 0
-7.27,0.14,-4.69, 0
-7.16,0.68,-4.79, 0
-7.39,2.37,-4.21, 0
-7.87,4.52,-4.20, 0
-8.72,5.75,-4.61, 0
-9.30,6.06,-5.46, 0
-8.89,5.72,-5.35, 0
-7.89,5.71,-4.59, 0
-7.13,6.00,-3.66, 0
-9.84,4.77,-3.34, 0
-10.32,4.36,-7.29, 0
-11.81,0.50,-8.61, 0
-12.52,-2.43,-8.19, 0
-9.23,-2.62,-5.59, 0
-7.56,-0.14,-2.52, 0
-7.38,2.28,-1.45, 0
-7.02,1.93,-2.60, 0
-7.49,-0.23,-4.43, 0
-7.98,-2.42,-6.29, 0
-8.35,-2.20,-6.94, 0
-8.21,0.51,-5.70, 0
-7.26,3.69,-3.78, 0
-7.33,5.03,-3.21, 0
-7.71,4.42,-4.48, 0
-8.22,3.03,-6.30, 0
-8.37,1.73,-6.38, 0
-7.82,1.42,-5.01, 0
-7.47,1.73,-3.90, 0
-7.45,1.95,-4.17, 0
-7.77,1.87,-5.09, 0
-8.06,1.51,-5.97, 0
-8.22,1.02,-6.08, 0
-7.98,0.90,-5.57, 0
-7.68,1.22,-5.20, 0
-8.11,1.43,-5.68, 0
-8.03,1.64,-6.31, 0
-7.79,1.98,-6.14, 0
-7.56,2.21,-5.40, 0
-7.41,2.26,-4.93, 0
-7.04,2.24,-4.92, 0
-7.24,2.44,-5.28, 0
-7.54,2.67,-5.72, 0
-7.59,2.80,-5.87, 0
-7.28,3.02,-6.00, 0
-7.59,2.67,-6.62, 0
-7.91,2.36,-7.07, 0
-7.68,2.21,-6.92, 0
-6.99,2.52,-6.09, 0
-6.53,2.58,-6.33, 0
-6.41,2.16,-6.62, 0
-9.41,0.76,-5.23, 0
-8.11,2.57,-2.13, 0
-7.85,4.88,-0.92, 0
-9.29,1.12,-4.12, 0
-13.14,-2.59,-7.57, 0
-13.93,-4.45,-8.83, 0
-12.52,-5.05,-9.00, 0
-9.73,-1.66,-5.85, 0
-7.48,2.27,-1.68, 0
-8.51,3.82,0.30, 0
-10.36,3.49,-1.38, 0
-11.54,2.98,-5.13, 0
-11.28,1.83,-6.85, 0
-9.36,0.74,-4.14, 0
-7.07,0.60,-0.71, 0
-6.26,1.84,-0.28, 0
-7.35,2.77,-2.65, 0
-7.83,2.64,-3.98, 0
-7.57,1.76,-3.06, 0
-7.53,0.92,-2.45, 0
-7.69,0.79,-2.38, 0
-8.16,1.44,-2.55, 0
-8.32,2.91,-3.21, 0
-7.40,3.52,-3.19, 0
-7.48,3.73,-2.94, 0
-6.92,3.05,-3.22, 0
-6.11,2.02,-2.55, 0
-7.47,1.91,-2.45, 0
-10.72,3.15,-5.46, 0
-13.03,4.65,-7.87, 0
-13.01,5.61,-7.96, 0
-11.41,2.30,-5.33, 0
-9.23,-0.93,-3.89, 0
-7.56,-1.23,-3.67, 0
-6.84,-1.37,-3.30, 0
-6.87,-1.28,-3.27, 0
-6.72,0.08,-4.06, 0
-7.33,2.17,-5.08, 0
-8.12,2.68,-4.70, 0
-8.58,2.05,-4.29, 0
-8.52,2.11,-4.65, 0
-8.34,2.32,-5.25, 0
-7.75,2.18,-5.55, 0
-7.66,2.02,-5.82, 0
-7.73,1.62,-6.12, 0
-7.83,1.60,-5.78, 0
-7.88,1.91,-5.25, 0
-7.86,2.44,-5.01, 0
-8.18,2.64,-5.39, 0
-8.26,3.52,-5.56, 0
-8.27,4.33,-5.31, 0
-7.97,4.27,-5.16, 0
-7.82,3.65,-5.42, 0
-7.72,3.06,-5.70, 0
-7.55,2.68,-5.77, 0
-7.57,2.83,-5.53, 0
-6.98,3.63,-5.12, 0
-6.85,4.20,-5.09, 0
-7.19,3.78,-5.68, 0
-7.41,3.49,-5.71, 0
-6.86,3.68,-5.80, 0
-7.16,3.34,-5.81, 0
-7.55,2.41,-6.42, 0
-10.49,1.31,-5.24, 0
-6.85,1.94,-4.61, 0
-6.17,2.16,-4.88, 0
-8.00,1.66,-6.15, 0
-8.33,2.46,-5.39, 0
-8.03,3.94,-4.96, 0
-9.58,3.87,-6.30, 0
-11.00,2.61,-8.08, 0
-10.58,2.29,-7.28, 0
-9.08,2.30,-4.31, 0
-8.66,1.40,-3.16, 0
-8.27,-0.58,-2.98, 0
-7.14,-1.92,-3.00, 0
-7.15,-2.07,-2.69, 0
-7.65,-1.60,-3.17, 0
-7.98,0.40,-4.20, 0
-9.72,3.95,-5.05, 0
-11.47,6.52,-5.80, 0
-10.74,6.16,-5.56, 0
-9.59,4.13,-4.77, 0
-8.71,2.39,-4.36, 0
-8.34,1.73,-4.56, 0
-8.15,2.53,-4.29, 0
-7.98,3.26,-3.90, 0
-7.10,3.60,-2.99, 0
-6.30,3.44,-2.20, 0
-5.87,3.10,-1.93, 0
-6.08,2.56,-2.26, 0
-5.99,2.05,-2.97, 0
-6.39,1.31,-3.98, 0
-7.15,1.65,-5.00, 0
-7.81,3.08,-6.20, 0
-9.01,4.82,-7.72, 0
-10.68,5.98,-7.99, 0
-14.57,4.38,-7.84, 0
-12.16,1.67,-8.02, 0
-7.90,-2.52,-6.18, 0
-4.69,-2.35,-0.31, 0
-6.10,-1.22,1.43, 0
-10.74,0.11,-2.57, 0
-11.37,0.63,-7.05, 0
-10.11,-0.06,-7.78, 0
-8.34,-0.73,-6.33, 0
-6.24,-0.64,-4.86, 0
-5.87,-0.70,-5.35, 0
-7.70,-0.07,-5.79, 0
-8.27,1.13,-5.62, 0
-9.04,2.51,-4.87, 0
-9.62,2.90,-5.19, 0
-9.71,1.90,-6.84, 0
-8.97,1.39,-8.19, 0
-7.84,1.57,-7.20, 0
-7.06,1.84,-5.96, 0
-6.23,1.91,-5.27, 0
-6.08,1.38,-5.63, 0
-7.01,0.50,-7.05, 0
-7.08,0.91,-7.52, 0
-6.84,1.86,-7.57, 0
-6.08,2.77,-7.17, 0
-5.71,3.44,-5.94, 0
-6.11,4.18,-5.13, 0
-9.07,3.59,-5.17, 0
